WRN 2026-07-25T22:37:32.921 ui.53905   tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-07-25T22:37:32.921 ui.53905   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-07-25T22:37:32.921 ui.53905   tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-07-25T22:37:32.921 ui.53905   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-07-25T22:37:32.921 ui.53905   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-07-25T22:37:39.439 ui.53949   tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-07-25T22:37:39.439 ui.53949   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-07-25T22:37:39.439 ui.53949   tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-07-25T22:37:39.439 ui.53949   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-07-25T22:37:39.439 ui.53949   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-07-25T22:37:46.547 ui.53998   tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-07-25T22:37:46.547 ui.53998   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-07-25T22:37:46.547 ui.53998   tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-07-25T22:37:46.547 ui.53998   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-07-25T22:37:46.547 ui.53998   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-07-25T22:38:09.585 ui.54561   tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-07-25T22:38:09.585 ui.54561   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-07-25T22:38:09.585 ui.54561   tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-07-25T22:38:09.585 ui.54561   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-07-25T22:38:09.585 ui.54561   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
