alsa-tools 1.2.15-3
amd-ucode 20260810-2
anki 26.08.1-1
apr 1.7.6-1
apr-util 1.6.5-1
aria2 1.37.0-3
auto-cpufreq 3.1.0-1
base 3-3
base-devel 1-2
bibata-cursor-theme 2.0.7-1
bitwarden 2026.3.1-2
blueman 2.4.6-2
bluez 5.87-2
bluez-utils 5.87-2
brightnessctl 0.5.1-3
calf 0.90.9-2
chromium 151.0.7922.137-1
clang 22.1.8-1
cliphist 1:0.7.0-2
cmake 4.4.2-1
easyeffects 8.2.8-1
efibootmgr 18-4
eog 50.2-1
fastfetch 2.67.1-1
ffmpeg4.4 4.4.8-3
filelight 26.04.3-1
firefox 153.0.4-1
fzf 0.74.3-1
gamescope 3.16.25-1
gimp 3.2.4-2
git 2.55.0-1
gnome-themes-extra 1:3.28-1
gopass 1.16.1-2
grim 1.5.0-2
grub 2:2.14-1
htop 3.5.3-1
hyprland 0.56.2-1
hyprpaper 0.8.4-6
i3-wm 4.25.1-1
inter-font 4.1-1
java-runtime-common 3-6
jq 1.8.2-1
jre-openjdk 26.0.2.u10-1
keyd 2.6.0-5
kitty 0.48.2-1
lib32-nvidia-utils 610.57.04-1
lib32-vulkan-radeon 1:26.1.7-1
libc++ 22.1.8-1
libc++abi 22.1.8-1
libmfx 23.2.2-6
libnet 2:1.3-2
libnotify 0.8.8-1
libreoffice-fresh 26.2.5-1
libvirt 1:12.6.0-1
linux 7.1.8.arch1-3
linux-firmware 20260810-2
localsend-bin 1.17.0-1
lsp-plugins 1.2.33-2
luarocks 3.13.0-5
lutris 0.5.22-2
make 4.4.1-3
mako 1.11.0-1
man-db 2.13.1-2
man-pages 6.18-1
mission-center 1.1.0-2
mpv 1:0.41.0-4
nautilus 50.2.2-1
neovim 0.12.4-1
network-manager-applet 1.36.0-2
networkmanager 1.58.0-1
noto-fonts-cjk 20240730-1
noto-fonts-emoji 1:2.051-1
npm 12.0.2-1
nvidia-open 610.57.04-6
nvidia-settings 610.57.04-1
nwg-look 1.1.1-3
obs-studio 32.2.2-1
obsidian 1.13.7-2
opencl-nvidia 610.57.04-1
otf-font-awesome 7.3.1-1
pamixer 1.6-4
paru 2.1.0-2
paru-debug 2.1.0-2
pavucontrol 1:6.2-1
pipewire-pulse 1:1.6.8-1
polybar 3.7.2-2
pyenv 1:2.8.4-1
python-adblock 0.6.0-5
python-numpy 2.5.2-1
python-pip 26.2.1-1
qalculate-gtk 5.12.0-1
qbittorrent 5.2.3-3
qemu-full 11.1.0-1
qt5-base 5.15.19+kde+r96-1
qt5-declarative 5.15.19+kde+r23-1
qt5-multimedia 5.15.19+kde+r2-1
qt5-quickcontrols2 5.15.19+kde+r5-1
qt5-svg 5.15.19+kde+r5-1
qt5-translations 5.15.19-1
qt5-x11extras 5.15.19-1
qt6ct 0.11-7
qutebrowser 3.7.0-1
rate-mirrors 0.29.0-1
ripgrep 15.2.0-1
rofi 2.0.0-1
rofimoji 6.7.0-2
slurp 1.5.0-2
socat 1.8.1.3-1
sof-firmware 2025.12.2-1
spicetify-bin 2.44.0-1
spotify 1:1.2.92.147-1
sshfs 3.7.6-1
stow 2.4.1-1
stress-ng 0.21.04-2
sudo 1.9.17.p2-6
swaylock 1.8.6-1
tmux 3.7_b-1
tree 2.3.2-1
ttc-iosevka 34.8.0-1
ttf-jetbrains-mono-nerd 3.5.0-1
ttf-ms-fonts 2.0-12
ueberzugpp 2.9.10-1
unrar 1:7.2.7-1
usbutils 019-1
vim 9.2.0849-1
virt-manager 5.1.0-4
vlc 3.0.23_2-10
vulkan-tools 1.4.357.0-1
waybar-git 0.15.0.r947.g30610d3-1
waydroid 1.6.3-1
whitesur-cursor-theme-git r18.e190baf-1
whitesur-gtk-theme 2025.04.03-1
whitesur-icon-theme 2026.07.07-1
wine-gecko 2.47.4-2
wine-mono 11.2.0-1
wine-tkg-staging-bin 11.9-1
winetricks 20260125-2
wl-gammarelay 0.1.3-1
wtype 0.4-2
xdg-desktop-portal-hyprland 1.4.1-1
xdg-desktop-portal-wlr 0.8.2-1
xorg-server 21.1.24-1
xorg-xinit 1.4.4-1
yazi 26.5.6-4
yt-dlp 2026.07.04-1
ytfzf 2.6.2-2
zathura 2026.07.18-1
zathura-pdf-poppler 2026.07.18-1
zsh 5.9.2-1
